Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,124.000000,124.000000,113.800003,114.150002,114.150002,30246
2000-01-10,126.000000,126.000000,112.250000,112.550003,112.550003,30491
2000-01-17,112.000000,118.800003,110.599998,111.199997,111.199997,28449
2000-01-24,111.000000,116.400002,110.949997,114.699997,114.699997,24442
2000-01-31,114.000000,114.500000,109.800003,112.900002,112.900002,25772
2000-02-07,114.000000,114.250000,106.900002,108.800003,108.800003,35746
2000-02-14,107.000000,107.599998,103.750000,104.300003,104.300003,37841
2000-02-21,103.000000,104.750000,98.199997,98.800003,98.800003,5081
2000-02-28,98.250000,105.500000,98.000000,104.349998,104.349998,1311
2000-03-06,103.500000,109.000000,103.500000,106.099998,106.099998,549
2000-03-13,106.500000,106.750000,101.500000,106.099998,106.099998,774
2000-03-20,104.750000,107.000000,101.050003,103.150002,103.150002,16943
2000-03-27,102.750000,105.300003,101.349998,103.699997,103.699997,20286
2000-04-03,103.500000,103.699997,97.199997,99.599998,99.599998,30097
2000-04-10,98.500000,99.300003,91.949997,92.650002,92.650002,36971
2000-04-17,93.000000,98.199997,92.000000,97.750000,97.750000,27458
2000-04-24,98.000000,98.400002,94.000000,95.300003,95.300003,1975
2000-05-01,99.000000,100.300003,94.250000,96.849998,96.849998,1098
2000-05-08,96.000000,99.099998,91.800003,91.800003,91.800003,791
2000-05-15,92.750000,98.750000,90.349998,97.949997,97.949997,8847
2000-05-22,97.949997,104.699997,97.500000,99.199997,99.199997,36155
2000-05-29,99.000000,101.699997,92.599998,95.550003,95.550003,26334
2000-06-05,94.900002,94.900002,88.800003,91.849998,91.849998,33784
2000-06-12,91.000000,93.250000,86.500000,87.250000,87.250000,28238
2000-06-19,86.750000,89.500000,84.000000,87.050003,87.050003,24225
2000-06-26,86.750000,89.250000,84.599998,84.849998,84.849998,1139
2000-07-03,85.400002,85.900002,79.750000,80.800003,80.800003,555
2000-07-10,83.500000,99.500000,83.500000,89.150002,89.150002,139
2000-07-17,98.500000,119.000000,95.349998,96.650002,96.650002,18206
2000-07-24,89.000000,89.000000,84.400002,87.400002,87.400002,18313
2000-07-31,86.500000,87.750000,84.099998,85.599998,85.599998,13083
2000-08-07,85.599998,86.000000,78.449997,80.650002,80.650002,29216
2000-08-14,80.000000,80.000000,75.599998,78.400002,78.400002,17756
2000-08-21,77.750000,78.500000,74.500000,77.750000,77.750000,10194
2000-08-28,78.000000,78.000000,73.500000,75.000000,75.000000,1057
2000-09-04,73.400002,78.000000,72.199997,77.400002,77.400002,167
2000-09-11,77.000000,80.000000,76.000000,76.250000,76.250000,134
2000-09-18,77.000000,81.250000,77.000000,78.000000,78.000000,18090
2000-09-25,78.250000,84.400002,77.800003,83.000000,83.000000,32665
2000-10-02,81.000000,82.150002,77.599998,79.449997,79.449997,15341
2000-10-09,79.250000,84.000000,78.500000,81.050003,81.050003,32184
